Scenario Id,RequestName,Endpoint,"Request Method,",Payload,ExpectedStatus,ExpectedResponseKeys,InvalidInput
PC_SC_17,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthonTwo"",
""programStatus"": ""Active""
}",404,"{
    ""message"": ""program with id {{programId}} not found"",
    ""success"": false
}",888
PC_SC_18,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthon001"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programName Must contain only letters and sometimes hyphens"",
    ""success"": false
}",
PC_SC_19,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthon@#$%"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programName Must contain only letters and sometimes hyphens"",
    ""success"": false
}",
PC_SC_20,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,{},400,"{
    ""message"": ""Invalid Status: must be Active or Inactive"",
    ""success"": false
}",
PC_SC_21,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{

}",400,"{
    ""message"": ""Program Name is mandatory"",
    ""success"": false
}",
PC_SC_22,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthon"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name PostmanHackthon already exists"",
    ""success"": false
}",
PC_SC_23,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programDescription"": ""API testing Test#$%^&"",
""programName"": ""PostmanHackthonJune"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programDescription must begin with letter and can only have letters, numbers, comma, hyphen, colon, period, underscore and space"",
    ""success"": false
}",
PC_SC_24,Update Program By Id,{{baseURL}}/lms/putprogram/{{programId}},PUT,"{
""programName"": ""Phaseonelms"",
""programStatus"": ""Active""
}",200,"{
    ""programId"": 242,
    ""programName"": ""Phaseonelms"",
    ""programDescription"": ""This is a Second Update"",
    ""programStatus"": ""Active"",
    ""creationTime"": ""2025-11-30T02:11:12.571+00:00"",
    ""lastModTime"": ""2025-11-30T02:46:09.636+00:00""
}",
PC_SC_25,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
""programDescription"":
""This is a Second Update"",
""programName"": ""Phaseonelms"",
""programStatus"": ""Active""
}",200,"{
    ""programName"": ""Phaseonelms"",
    ""programDescription"": ""This is a Second Update"",
    ""programStatus"": ""Active""
}",
PC_SC_26,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
""programDescription"":
""This is a Second Test"",
""programName"": ""PostmanHackthon200"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programName Must contain only letters and sometimes hyphens"",
    ""success"": false
}",
PC_SC_27,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
""programDescription"": ""API testing Test123"",
""programName"": ""PostmanHackthonTwoandferty"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name must be of min length 4 and max length 25."",
    ""success"": false
}",
PC_SC_28,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
""programDescription"": ""API testing Test123"",
""programName"": ""Po"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name must be of min length 4 and max length 25."",
    ""success"": false
}",
PC_SC_29,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
    ""programName"": ""Phaseonelms"",
    ""programDescription"": ""This is a Second Update"",
    ""programStatus"": ""Active""
}",404,"{
    ""message"": ""no such program name {{programName}}"",
    ""success"": false
}",NameNotFound
PC_SC_30,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthon001"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programName Must contain only letters and sometimes hyphens"",
    ""success"": false
}",
PC_SC_31,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthon@#$%"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programName Must contain only letters and sometimes hyphens"",
    ""success"": false
}",
PC_SC_32,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,{},400,"{
    ""message"": ""Invalid Status: must be Active or Inactive"",
    ""success"": false
}",
PC_SC_33,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{

}",400,"{
    ""message"": ""Program Name is mandatory"",
    ""success"": false
}",
PC_SC_34,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
""programDescription"": ""API testing Test"",
""programName"": ""PostmanHackthon"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""Program Name PostmanHackthon already exists"",
    ""success"": false
}",
PC_SC_35,Update Program By Name,{{baseURL}}/lms/program/{{programName}},PUT,"{
""programDescription"": ""API testing Test#$%^&"",
""programName"": ""PostmanHackthonJune"",
""programStatus"": ""Active""
}",400,"{
    ""message"": ""programDescription must begin with letter and can only have letters, numbers, comma, hyphen, colon, period, underscore and space"",
    ""success"": false
}",
PC_SC_36,Get Program By Id,{{baseURL}}/lms/programs/{{programId}},GET,,200,"{
    ""programName"": ""Phaseonelms"",
    ""programDescription"": ""This is a Second Update"",
    ""programStatus"": ""Active""
}",
PC_SC_37,Get Program By Id,{{baseURL}}/lms/programs/{{programId}},GET,,404,"{
    ""message"": ""program with this: {{programId}} not found"",
    ""success"": false
}",999
PC_SC_38,Get all Programs,{{baseURL}}/lms/allPrograms,GET,,200,"[
    {
        ""programId"": 3,
        ""programName"": ""DA"",
        ""programDescription"": ""DA Training"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2023-05-26T17:02:13.593+00:00"",
        ""lastModTime"": ""2023-05-26T17:02:13.593+00:00""
    },
    {
        ""programId"": 12,
        ""programName"": ""SDET1"",
        ""programDescription"": null,
        ""programStatus"": ""active"",
        ""creationTime"": ""2023-07-24T18:34:20.095+00:00"",
        ""lastModTime"": ""2023-07-24T18:34:20.095+00:00""
    },
    {
        ""programId"": 13,
        ""programName"": ""SDET2"",
        ""programDescription"": ""sdet2"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2023-07-24T18:35:37.380+00:00"",
        ""lastModTime"": ""2024-01-30T16:24:53.746+00:00""
    },
    {
        ""programId"": 2,
        ""programName"": ""Data Science"",
        ""programDescription"": ""data science program"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2021-10-04T18:14:48.326+00:00"",
        ""lastModTime"": ""2024-02-05T12:01:14.587+00:00""
    },
    {
        ""programId"": 37,
        ""programName"": ""Quality Assurance"",
        ""programDescription"": ""QA"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2024-05-02T12:21:24.610+00:00"",
        ""lastModTime"": ""2024-05-02T12:21:24.610+00:00""
    },
    {
        ""programId"": 39,
        ""programName"": ""UnitTesting"",
        ""programDescription"": null,
        ""programStatus"": ""Active"",
        ""creationTime"": ""2024-12-05T10:04:21.320+00:00"",
        ""lastModTime"": ""2024-12-05T10:04:21.320+00:00""
    },
    {
        ""programId"": 40,
        ""programName"": ""Python"",
        ""programDescription"": ""Programming Language"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2024-12-05T11:32:56.090+00:00"",
        ""lastModTime"": ""2025-04-04T11:45:51.051+00:00""
    },
    {
        ""programId"": 41,
        ""programName"": ""spring-bootsdet"",
        ""programDescription"": ""Testing description field"",
        ""programStatus"": ""Inactive"",
        ""creationTime"": ""2025-11-18T21:10:44.384+00:00"",
        ""lastModTime"": ""2025-11-18T21:12:24.842+00:00""
    },
    {
        ""programId"": 42,
        ""programName"": ""sping-Ela"",
        ""programDescription"": ""Testing description field"",
        ""programStatus"": ""Inactive"",
        ""creationTime"": ""2025-11-18T21:47:57.767+00:00"",
        ""lastModTime"": ""2025-11-18T21:51:47.260+00:00""
    },
    {
        ""programId"": 43,
        ""programName"": ""aSumathi"",
        ""programDescription"": ""Testing purpose "",
        ""programStatus"": ""Inactive"",
        ""creationTime"": ""2025-11-18T21:51:57.360+00:00"",
        ""lastModTime"": ""2025-11-18T21:52:06.453+00:00""
    },
    {
        ""programId"": 44,
        ""programName"": ""PostmanHackthon"",
        ""programDescription"": ""API testing"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2025-11-22T06:15:30.154+00:00"",
        ""lastModTime"": ""2025-11-22T06:15:30.154+00:00""
    },
    {
        ""programId"": 1,
        ""programName"": ""LMSHAHackthonone"",
        ""programDescription"": ""This is a FirstTest"",
        ""programStatus"": ""Inactive"",
        ""creationTime"": ""2021-10-04T18:14:48.326+00:00"",
        ""lastModTime"": ""2025-11-22T06:18:13.347+00:00""
    },
    {
        ""programId"": 45,
        ""programName"": ""UserTwo"",
        ""programDescription"": ""UserONe"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2025-11-22T20:09:34.760+00:00"",
        ""lastModTime"": ""2025-11-22T20:09:34.760+00:00""
    },
    {
        ""programId"": 46,
        ""programName"": ""TESTuu"",
        ""programDescription"": ""TEstinf"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2025-11-22T20:10:41.338+00:00"",
        ""lastModTime"": ""2025-11-22T20:10:41.338+00:00""
    },
    {
        ""programId"": 47,
        ""programName"": ""SoftwareDevelopment"",
        ""programDescription"": ""APIAvengers"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2025-11-22T20:14:22.515+00:00"",
        ""lastModTime"": ""2025-11-22T20:14:22.515+00:00""
    },
    {
        ""programId"": 48,
        ""programName"": ""PostmanHackthonOne"",
        ""programDescription"": ""API testing Test"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2025-11-23T00:49:58.544+00:00"",
        ""lastModTime"": ""2025-11-23T00:49:58.544+00:00""
    },
    {
        ""programId"": 49,
        ""programName"": ""PostmanHackthonTwo"",
        ""programDescription"": ""This is a FirstTest"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2025-11-23T00:54:13.861+00:00"",
        ""lastModTime"": ""2025-11-23T01:16:01.028+00:00""
    },
    {
        ""programId"": 50,
        ""programName"": ""TestProgram"",
        ""programDescription"": ""Program Description"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2025-11-23T04:12:02.436+00:00"",
        ""lastModTime"": ""2025-11-23T04:12:02.436+00:00""
    },
    {
        ""programId"": 51,
        ""programName"": ""SDET"",
        ""programDescription"": ""QA Automation"",
        ""programStatus"": ""Active"",
        ""creationTime"": ""2025-11-23T17:58:31.228+00:00"",
        ""lastModTime"": ""2025-11-23T17:58:31.228+00:00""
    },
    {
        ""programId"": 52,
        ""programName"": ""QATest"",
        ""programDescription"": ""QA Automation123"",
        ""programStatus"": ""Inactive"",
        ""creationTime"": ""2025-11-23T20:12:19.655+00:00"",
        ""lastModTime"": ""2025-11-23T20:32:10.515+00:00""
    },
    {
        ""programId"": 53,
        ""programName"": ""QASDET"",
        ""programDescription"": ""Testing"",
        ""programStatus"": ""Inactive"",
        ""creationTime"": ""2025-11-23T20:13:54.924+00:00"",
        ""lastModTime"": ""2025-11-23T20:32:32.805+00:00""
    },
    {
        ""programId"": 54,
        ""programName"": ""QA-Test"",
        ""programDescription"": ""Test 789"",
        ""programStatus"": ""Inactive"",
        ""creationTime"": ""2025-11-23T20:29:21.367+00:00"",
        ""lastModTime"": ""2025-11-23T20:32:51.107+00:00""
    },
    {
        ""programId"": 38,
        ""programName"": ""computerProgramming"",
        ""programDescription"": ""CPP"",
        ""programStatus"": ""Inactive"",
        ""creationTime"": ""2024-05-02T12:26:12.128+00:00"",
        ""lastModTime"": ""2025-11-23T20:49:00.737+00:00""
    }
]",
PC_SC_39,Get All Programs with Users,{{baseURL}}/lms/allProgramsWithUsers,GET,,200,"[
    {
        ""programId"": 13,
        ""programName"": ""SDET2"",
        ""programDescription"": ""sdet2"",
        ""programStatus"": ""Active"",
        ""programUsers"": [
            {
                ""userId"": ""U93"",
                ""userFirstName"": ""TEst"",
                ""userLastName"": ""Tesd"",
                ""userMiddleName"": ""HH"",
                ""userPhoneNumber"": ""+1 8971972952"",
                ""userLocation"": ""nKuh"",
                ""userTimeZone"": ""CST"",
                ""userLinkedinUrl"": ""www.linkedin.com/56565"",
                ""userEduUg"": ""wLH0"",
                ""userEduPg"": ""JFi)o:ue3tcQ1l<v!5A,!Ia^THluWypCGn]TJxX)Dt 9V>rJH)$WXGR(hJLcpPL(;-!V!/fQ?1V).=cDT=tfQ!*Mi7"",
                ""userComments"": ""ns6="",
                ""userVisaStatus"": ""NA"",
                ""userLoginEmail"": ""test778@gmail.com""
            }
        ],
        ""creationTime"": ""2023-07-24T18:35:37.380+00:00"",
        ""lastModTime"": ""2024-01-30T16:24:53.746+00:00""
    },
    {
        ""programId"": 3,
        ""programName"": ""DA"",
        ""programDescription"": ""DA Training"",
        ""programStatus"": ""Active"",
        ""programUsers"": [
            {
                ""userId"": ""U07"",
                ""userFirstName"": ""Sarah"",
                ""userLastName"": ""Anderson"",
                ""userMiddleName"": ""M"",
                ""userPhoneNumber"": ""6512348914"",
                ""userLocation"": ""Texas"",
                ""userTimeZone"": ""PST"",
                ""userLinkedinUrl"": ""https://www.linkedin.com/in/Sarah Anderson/"",
                ""userEduUg"": ""Computer Science Engineering"",
                ""userEduPg"": "" MBA"",
                ""userVisaStatus"": ""GC-EAD"",
                ""userLoginEmail"": ""SarahU07@NumpyNinja.com""
            }
        ],
        ""creationTime"": ""2023-05-26T17:02:13.593+00:00"",
        ""lastModTime"": ""2023-05-26T17:02:13.593+00:00""
    },
    {
        ""programId"": 1,
        ""programName"": ""LMSHAHackthonone"",
        ""programDescription"": ""This is a FirstTest"",
        ""programStatus"": ""Inactive"",
        ""programUsers"": [
            {
                ""userId"": ""U05"",
                ""userFirstName"": ""Stephen"",
                ""userLastName"": ""Hawking"",
                ""userPhoneNumber"": ""9562118900"",
                ""userLocation"": ""Arizona"",
                ""userTimeZone"": ""MST"",
                ""userLinkedinUrl"": ""https://www.linkedin.com/in/StephenHawking/"",
                ""userEduUg"": ""Electronics and Communications Engineering"",
                ""userEduPg"": "" Information Technology"",
                ""userVisaStatus"": ""H1B"",
                ""userLoginEmail"": ""numpy.ninja.dev@gmail.com""
            },
            {
                ""userId"": ""U01"",
                ""userFirstName"": ""John"",
                ""userLastName"": ""Matthew"",
                ""userPhoneNumber"": ""123456789"",
                ""userLocation"": ""New Jersey"",
                ""userTimeZone"": ""EST"",
                ""userLinkedinUrl"": ""https://www.linkedin.com/in/John Matthew/"",
                ""userEduUg"": ""Computer Science Engineering"",
                ""userEduPg"": "" MBA"",
                ""userVisaStatus"": ""Not-Specified"",
                ""userLoginEmail"": ""John.Matthew@gmail.com""
            },
            {
                ""userId"": ""U02"",
                ""userFirstName"": ""Steve"",
                ""userLastName"": ""Job"",
                ""userPhoneNumber"": ""879123456"",
                ""userLocation"": ""Idaho"",
                ""userTimeZone"": ""PST"",
                ""userLinkedinUrl"": ""https://www.linkedin.com/in/Steve Job/"",
                ""userEduUg"": ""Mechanical Engineering"",
                ""userEduPg"": "" Computer Science Engineering"",
                ""userVisaStatus"": ""H4"",
                ""userLoginEmail"": ""steve.job@gmail.com""
            },
            {
                ""userId"": ""U04"",
                ""userFirstName"": ""Robert"",
                ""userLastName"": ""Louis"",
                ""userPhoneNumber"": ""9566751211"",
                ""userLocation"": ""Minneapolis"",
                ""userTimeZone"": ""IST"",
                ""userLinkedinUrl"": ""https://www.linkedin.com/in/RobertLouis/"",
                ""userEduUg"": ""Electronics and Communication Engineering"",
                ""userEduPg"": "" Robotics"",
                ""userVisaStatus"": ""GC-EAD"",
                ""userLoginEmail"": ""Robert.Louis@gmail.com""
            },
            {
                ""userId"": ""U57"",
                ""userFirstName"": ""Elamathi"",
                ""userLastName"": ""Ramkumar"",
                ""userMiddleName"": ""R"",
                ""userPhoneNumber"": ""+91 2456897232"",
                ""userLocation"": ""Texas"",
                ""userTimeZone"": ""CST"",
                ""userLinkedinUrl"": null,
                ""userEduUg"": ""string"",
                ""userEduPg"": ""string"",
                ""userComments"": ""Ela change"",
                ""userVisaStatus"": ""H4"",
                ""userLoginEmail"": ""Arun@gmail.com""
            }
        ],
        ""creationTime"": ""2021-10-04T18:14:48.326+00:00"",
        ""lastModTime"": ""2025-11-22T06:18:13.347+00:00""
    },
    {
        ""programId"": 2,
        ""programName"": ""Data Science"",
        ""programDescription"": ""data science program"",
        ""programStatus"": ""Active"",
        ""programUsers"": [
            {
                ""userId"": ""U06"",
                ""userFirstName"": ""Sylvia"",
                ""userLastName"": ""Rajan"",
                ""userPhoneNumber"": ""9562009911"",
                ""userLocation"": ""India"",
                ""userTimeZone"": ""IST"",
                ""userLinkedinUrl"": ""https://www.linkedin.com/in/SyliviaRajan/"",
                ""userEduUg"": ""Electronics and Electrical Engineering"",
                ""userEduPg"": "" Computer Technology"",
                ""userVisaStatus"": ""H4-EAD"",
                ""userLoginEmail"": ""sitharasadiq@gmail.com""
            },
            {
                ""userId"": ""U08"",
                ""userFirstName"": ""Maria"",
                ""userLastName"": ""Peterson"",
                ""userPhoneNumber"": ""6512391300"",
                ""userLocation"": ""Ontario"",
                ""userTimeZone"": ""CST"",
                ""userLinkedinUrl"": ""https://www.linkedin.com/in/MariaPeterson/"",
                ""userEduUg"": ""Information Sciences"",
                ""userEduPg"": "" MBA"",
                ""userVisaStatus"": ""Canada-Citizen"",
                ""userLoginEmail"": ""Maria.Peterson@gmail.com""
            },
            {
                ""userId"": ""U02"",
                ""userFirstName"": ""Steve"",
                ""userLastName"": ""Job"",
                ""userPhoneNumber"": ""879123456"",
                ""userLocation"": ""Idaho"",
                ""userTimeZone"": ""PST"",
                ""userLinkedinUrl"": ""https://www.linkedin.com/in/Steve Job/"",
                ""userEduUg"": ""Mechanical Engineering"",
                ""userEduPg"": "" Computer Science Engineering"",
                ""userVisaStatus"": ""H4"",
                ""userLoginEmail"": ""steve.job@gmail.com""
            }
        ],
        ""creationTime"": ""2021-10-04T18:14:48.326+00:00"",
        ""lastModTime"": ""2024-02-05T12:01:14.587+00:00""
    }
]",
PC_SC_40,Delete Program By Id,{{baseURL}}/lms/deletebyprogid/{{programId}},DELETE,,200,Message: Program Id-{{programId}} is deleted Successfully!,
PC_SC_41,Delete Program By Id,{{baseURL}}/lms/deletebyprogid/{{programId}},DELETE,,404,"{
    ""message"": ""no record found with programId{{programId}}"",
    ""success"": false
}",785
PC_SC_42,Delete Program By Name,{{baseURL}}/lms/deletebyprogname/{{programName}},DELETE,,200,Message: Program Name -{{programName}} is deleted Successfully!,
PC_SC_43,Delete Program By Name,{{baseURL}}/lms/deletebyprogname/{{programName}},DELETE,,404,"{
    ""message"": ""no record found with {{programName}}"",
    ""success"": false
}",NameNotFound
